file_id,shape_ok,dtype,finite,vmin,vmax,sym_err,diag_min,diag_max,n_exact_zero,n_neg_off,n_pos_off,max_abs,const
CMU_a_0050642,True,float64,True,-0.20317892573702545,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,76,7934,1.0,False
CMU_a_0050646,True,float64,True,-0.25585691067396793,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,228,7782,1.0,False
CMU_a_0050647,True,float64,True,-0.27344975459269183,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,304,7706,1.0,False
CMU_a_0050649,True,float64,True,-0.5159737675984988,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,446,7564,1.0,False
CMU_a_0050654,True,float64,True,-0.1883324056588537,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,54,7956,1.0,False
CMU_a_0050656,True,float64,True,-0.4389262178758358,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,528,7482,1.0,False
CMU_a_0050659,True,float64,True,-0.20686698159018277,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,54,7956,1.0,False
CMU_a_0050660,True,float64,True,-0.40924664858406806,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,530,7480,1.0,False
CMU_a_0050663,True,float64,True,-0.3742165358405612,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,546,7464,1.0,False
CMU_a_0050664,True,float64,True,-0.4237767655262478,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,422,7588,1.0,False
CMU_a_0050665,True,float64,True,-0.2162174390560147,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,218,7792,1.0,False
CMU_a_0050666,True,float64,True,-0.26651507438428695,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,196,7814,1.0,False
CMU_a_0050668,True,float64,True,-0.3212745293243286,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,220,7790,1.0,False
CMU_b_0050644,True,float64,True,-0.37751479986976666,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,238,7772,1.0,False
CMU_b_0050645,True,float64,True,-0.33286611541900607,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,168,7842,1.0,False
CMU_b_0050652,True,float64,True,-0.30182877781047424,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,398,7612,1.0,False
CMU_b_0050655,True,float64,True,-0.2927075988727248,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,126,7884,1.0,False
CMU_b_0050658,True,float64,True,-0.5095337872698461,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,630,7380,1.0,False
CMU_b_0050661,True,float64,True,-0.5255547851883147,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,542,7468,1.0,False
CMU_b_0050667,True,float64,True,-0.30459033137744707,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,448,7562,1.0,False
Caltech_0051456,True,float64,True,-0.5023758097975314,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1354,6656,1.0,False
Caltech_0051458,True,float64,True,-0.7600311808909164,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2180,5830,1.0,False
Caltech_0051459,True,float64,True,-0.6512229138558617,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2350,5660,1.0,False
Caltech_0051461,True,float64,True,-0.38636562104244854,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,290,7720,1.0,False
Caltech_0051462,True,float64,True,-0.35754999353194544,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,134,7876,1.0,False
Caltech_0051463,True,float64,True,-0.6773296076508369,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2248,5762,1.0,False
Caltech_0051465,True,float64,True,-0.49449700400233615,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,896,7114,1.0,False
Caltech_0051468,True,float64,True,-0.4964377882080612,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1552,6458,1.0,False
Caltech_0051470,True,float64,True,-0.443059840380482,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,662,7348,1.0,False
Caltech_0051472,True,float64,True,-0.6915514837254998,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2382,5628,1.0,False
Caltech_0051473,True,float64,True,-0.3446012424196097,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,548,7462,1.0,False
Caltech_0051474,True,float64,True,-0.5937704075672359,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1322,6688,1.0,False
Caltech_0051476,True,float64,True,-0.4463525885967089,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,628,7382,1.0,False
Caltech_0051477,True,float64,True,-0.38034289607495053,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,284,7726,1.0,False
Caltech_0051479,True,float64,True,-0.43376616526691253,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,812,7198,1.0,False
Caltech_0051480,True,float64,True,-0.43956794393964416,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1086,6924,1.0,False
Caltech_0051481,True,float64,True,-0.1570454003717047,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,26,7984,1.0,False
Caltech_0051482,True,float64,True,-0.6336276089069419,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1822,6188,1.0,False
Caltech_0051484,True,float64,True,-0.2734697713572257,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,462,7548,1.0,False
Caltech_0051485,True,float64,True,-0.3357964073648805,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,526,7484,1.0,False
Caltech_0051486,True,float64,True,-0.39479437061579964,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,452,7558,1.0,False
Caltech_0051487,True,float64,True,-0.45529114857385805,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,984,7026,1.0,False
Caltech_0051488,True,float64,True,-0.5551223929057685,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,498,7512,1.0,False
Caltech_0051489,True,float64,True,-0.6339794200723612,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1024,6986,1.0,False
Caltech_0051490,True,float64,True,-0.3644365859987269,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1020,6990,1.0,False
Caltech_0051491,True,float64,True,-0.5467471814307865,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1002,7008,1.0,False
Caltech_0051492,True,float64,True,-0.41405101956538337,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,558,7452,1.0,False
Caltech_0051493,True,float64,True,-0.48478090746162616,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,524,7486,1.0,False
KKI_0050772,True,float64,True,-0.5962631997868281,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1028,6982,1.0,False
KKI_0050773,True,float64,True,-0.4703464396282123,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1048,6962,1.0,False
KKI_0050774,True,float64,True,-0.5616157961578763,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2332,5678,1.0,False
KKI_0050775,True,float64,True,-0.40721924795116987,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1114,6896,1.0,False
KKI_0050776,True,float64,True,-0.5146735147524953,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1196,6814,1.0,False
KKI_0050777,True,float64,True,-0.18014735724190667,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,82,7928,1.0,False
KKI_0050778,True,float64,True,-0.482748743735187,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,916,7094,1.0,False
KKI_0050779,True,float64,True,-0.43608819370435653,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1502,6508,1.0,False
KKI_0050780,True,float64,True,-0.27905864879494424,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,204,7806,1.0,False
KKI_0050781,True,float64,True,-0.5007870336034458,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1024,6986,1.0,False
KKI_0050782,True,float64,True,-0.44920529823794925,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1002,7008,1.0,False
KKI_0050783,True,float64,True,-0.5249813506561557,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1332,6678,1.0,False
KKI_0050784,True,float64,True,-0.437506486138951,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,726,7284,1.0,False
KKI_0050785,True,float64,True,-0.38990331532238187,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,888,7122,1.0,False
KKI_0050786,True,float64,True,-0.40624435412939597,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1028,6982,1.0,False
KKI_0050787,True,float64,True,-0.19114191693522978,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,130,7880,1.0,False
KKI_0050788,True,float64,True,-0.4994784549257627,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1066,6944,1.0,False
KKI_0050789,True,float64,True,-0.501026613496581,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1536,6474,1.0,False
KKI_0050790,True,float64,True,-0.43496668703237973,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1484,6526,1.0,False
KKI_0050791,True,float64,True,-0.6588453951578832,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,2186,5824,1.0,False
KKI_0050792,True,float64,True,-0.5697492944931403,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1658,6352,1.0,False
KKI_0050793,True,float64,True,-0.665388821121056,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2210,5800,1.0,False
KKI_0050794,True,float64,True,-0.4517588564143239,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1014,6996,1.0,False
KKI_0050795,True,float64,True,-0.4208620048186869,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,520,7490,1.0,False
KKI_0050796,True,float64,True,-0.49897733806825806,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,644,7366,1.0,False
KKI_0050797,True,float64,True,-0.17948897605294797,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,122,7888,1.0,False
KKI_0050798,True,float64,True,-0.4270281102022188,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,438,7572,1.0,False
KKI_0050799,True,float64,True,-0.5612228816830412,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1822,6188,1.0,False
KKI_0050800,True,float64,True,-0.38060279744258185,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,732,7278,1.0,False
KKI_0050801,True,float64,True,-0.5228113300769125,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1574,6436,1.0,False
KKI_0050802,True,float64,True,-0.47825245176575165,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1346,6664,1.0,False
KKI_0050803,True,float64,True,-0.44779689635324693,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,914,7096,1.0,False
KKI_0050804,True,float64,True,-0.4783049193235582,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,688,7322,1.0,False
KKI_0050807,True,float64,True,-0.32142092867618444,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,442,7568,1.0,False
KKI_0050812,True,float64,True,-0.364661328056274,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,554,7456,1.0,False
KKI_0050814,True,float64,True,-0.37019203805362494,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,532,7478,1.0,False
KKI_0050815,True,float64,True,-0.5451092355681402,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1044,6966,1.0,False
KKI_0050816,True,float64,True,-0.5115667674053552,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1414,6596,1.0,False
KKI_0050817,True,float64,True,-0.43674066304307424,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,626,7384,1.0,False
KKI_0050818,True,float64,True,-0.510902324042144,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2600,5410,1.0,False
KKI_0050819,True,float64,True,-0.6339186254629283,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1240,6770,1.0,False
KKI_0050820,True,float64,True,-0.4303395737170886,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,1830,6180,1.0,False
KKI_0050821,True,float64,True,-0.5468407418084918,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,2376,5634,1.0,False
KKI_0050822,True,float64,True,-0.46801438315096505,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,990,7020,1.0,False
KKI_0050823,True,float64,True,-0.38578866846059706,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,864,7146,1.0,False
KKI_0050824,True,float64,True,-0.4823487387384741,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,914,7096,1.0,False
KKI_0050825,True,float64,True,-0.5425438892810251,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,1966,6044,1.0,False
Leuven_1_0050682,True,float64,True,-0.4310578166993167,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,376,7634,1.0,False
Leuven_1_0050683,True,float64,True,-0.4261159417485902,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,382,7628,1.0,False
Leuven_1_0050685,True,float64,True,-0.1851107990678735,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,22,7988,1.0,False
Leuven_1_0050686,True,float64,True,-0.22679206902037422,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,106,7904,1.0,False
Leuven_1_0050687,True,float64,True,-0.5908981705655812,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,506,7504,1.0,False
Leuven_1_0050688,True,float64,True,-0.47568965771072363,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,738,7272,1.0,False
Leuven_1_0050689,True,float64,True,-0.46039459485916745,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,752,7258,1.0,False
Leuven_1_0050690,True,float64,True,-0.30894380185733705,1.0,2.220446049250313e-16,0.9999999999999998,1.0,0,130,7880,1.0,False
Leuven_1_0050691,True,float64,True,-0.5214993635138363,1.0,1.1102230246251565e-16,0.9999999999999998,1.0,0,928,7082,1.0,False
